,Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
68,Bi(GaSc)O3-PT,0.34199999999999997,0.658,0.995801832170524,0.07866189000000001,758.953
69,Bi(GaSc)O3-PT,0.31799999999999995,0.682,0.9980054729180959,0.07846281000000001,761.8
70,Bi(GaSc)O3-PT,0.29600000000000004,0.704,1.0000254769367036,0.07828032,766.577
71,Bi(GaSc)O3-PT,0.17800000000000005,0.822,1.010860043945599,0.07730151000000002,795.339
72,Bi(NiNb)O3-PT,0.32499999999999996,0.675,1.003435236769204,0.079807875,572.5830000000001
73,Bi(NiNb)O3-PT,0.30008999999999997,0.69991,1.0052569990415443,0.07950260295,609.99
74,Bi(NiNb)O3-PT,0.24917,0.75083,1.0089809707359472,0.07887857835,663.297
75,Bi(NiNb)O3-PT,0.19950999999999997,0.80049,1.012612793877032,0.07826999505,702.498
76,Bi(NiNb)O3-PT,0.14934999999999998,0.85065,1.0162811839043542,0.07765528425,723.4110000000001
77,Bi(NiNb)O3-PT,0.09987999999999997,0.90012,1.0198991116286689,0.07704902940000001,747.4580000000001
78,Bi(NiNb)O3-PT,0.05001,0.94999,1.0235462928619734,0.07643787255000001,768.201
79,Bi(NiNb)O3-PT,0.0012900000000000134,0.99871,1.0271093702569323,0.07584080895,763.578
80,Bi(ScFe)O3-PT,0.55,0.44999999999999996,0.9814205617004192,0.09521525,703.0
81,Bi(ScFe)O3-PT,0.5,0.5,0.9855826663479652,0.09345250000000001,698.0
82,Bi(ScFe)O3-PT,0.47,0.53,0.9880799291364927,0.09239485,701.0
83,Bi(ScFe)O3-PT,0.45,0.55,0.9897447709955112,0.09168975000000001,713.0
84,Bi(ZnW)O3-PT,0.050000000000000044,0.95,1.0228119338158121,0.08002075000000002,774.296
85,Bi(ZnW)O3-PT,0.09899999999999998,0.901,1.0185079903883523,0.08413258500000001,773.2860000000001
