,Ferroelectric_Tc_in_Kelvin,Tolerance_Factor,Ionic_Displacements
0,815.725,1.015227347551916,0.087791535
1,839.8,1.009507292496867,0.093506895
2,863.813,1.0036084857213483,0.09940086
3,915.276,0.9975309272253592,0.10547343
4,956.039,0.9915725365430166,0.11142693
5,1014.518,0.9857928975811444,0.117201825
6,1064.637,0.9797749229919784,0.12321486
7,1100.543,0.9736973644959892,0.12928743
8,768.119,1.0272037128234244,0.075825
9,803.026,1.0200751275766913,0.08411335
10,839.881,1.0126555796668262,0.09274
11,863.922,1.0090912870434594,0.096884175
12,922.024,1.005599735085876,0.100943775
13,989.645,0.9983256685075764,0.109401275
14,755.268,1.0233191466700005,0.07558476
15,736.2370000000001,1.018868081285869,0.075309485
16,725.456,1.016521155901509,0.07516434
17,706.6089999999999,1.0151453720555046,0.075079255
18,704.521,1.0132030889787926,0.074959135
19,681.866,1.010775235132903,0.074808985
20,643.352,1.0068097405179497,0.07456374
21,492.621,0.9866585535970636,0.073317495
22,492.628,0.985120912828,0.0732224
23,469.92,0.9835832720589364,0.073127305
24,446.804,0.9819647028283432,0.073027205
25,446.809,0.9802652051362202,0.0729221
26,430.036,0.9787275643671568,0.072827005
27,767.673,1.0269562964017165,0.0758673649999999
28,767.809,1.0231625779355291,0.0765169616666666
29,756.99,1.0188740266259255,0.0772512883333333
30,741.767,1.0148328917380305,0.07794325
31,723.031,1.0109567011312737,0.0786069683333333
32,695.845,1.0066681498216703,0.079341295
33,821.256,1.0075436461120173,0.07504904
34,833.891,1.0013352039926255,0.074804
35,836.955,0.988400949577226,0.0742935
36,820.457,0.9829685627227582,0.07407909
37,799.85,1.0115496033592628,0.0774493
38,768.9590000000001,1.0007609603501786,0.07856875
39,753.289,0.9953666388456366,0.079128475
40,721.631,0.9893376912817364,0.07975405
41,693.961,0.98521262189591,0.080182075
42,795.474,1.0184326277909983,0.085048005
43,809.376,1.0140913836840402,0.0896129266666666
44,816.809,1.009572945940063,0.0943641716666666
45,808.841,1.0051431050145956,0.099022255
46,774.857,1.0008904577261468,0.103494015
47,778.8340000000001,1.0238718112028151,0.077064455
48,787.872,1.0205399095822063,0.07830391
49,793.422,1.0170040139848255,0.07961925
50,795.816,1.0027924336030445,0.084905905
51,796.269,0.9934087106715336,0.088396615
52,775.87,0.9898728150741528,0.089711955
53,750.758,0.9876968793219184,0.090521395
54,740.944,0.9863369194767718,0.091027295
55,771.7429999999999,1.0242855554372794,0.07697196
56,772.9839999999999,1.0210026283778662,0.07826229
57,771.787,1.0180844709917212,0.07940925
58,762.962,1.0148623388778526,0.080675685
59,738.424,1.0089652291600175,0.0829935
60,745.613,1.0030073244966382,0.08533521
61,700.179,0.9968670349966248,0.087748605
62,680.144,0.9907267454966112,0.090162
63,837.0,1.0117923199508183,0.0744105
64,757.0,1.020108042649094,0.07586325
65,768.0,1.0177428192576508,0.075876
66,749.596,0.99139455067538,0.07906005
67,743.241,0.993598191422952,0.07886097
68,758.953,0.995801832170524,0.07866189
69,761.8,0.998005472918096,0.07846281
70,766.577,1.0000254769367036,0.07828032
71,795.339,1.010860043945599,0.07730151
72,572.5830000000001,1.003435236769204,0.079807875
73,609.99,1.0052569990415443,0.07950260295
74,663.297,1.0089809707359472,0.07887857835
75,702.498,1.012612793877032,0.07826999505
76,723.4110000000001,1.0162811839043542,0.07765528425
77,747.4580000000001,1.0198991116286689,0.0770490294
78,768.201,1.0235462928619734,0.07643787255
79,763.578,1.0271093702569325,0.07584080895
80,703.0,0.9814205617004192,0.09521525
81,698.0,0.9855826663479652,0.0934525
82,701.0,0.9880799291364928,0.09239485
83,713.0,0.9897447709955112,0.09168975
84,774.296,1.022811933815812,0.08002075
85,773.2860000000001,1.0185079903883525,0.084132585
86,788.316,1.01411621138074,0.088328335
87,802.981,1.0097244323731278,0.092524085
88,515.5699999999999,0.990866833596606,0.073577755
89,517.701,0.9949132566730892,0.073828005
90,518.71,0.9989596797495722,0.074078255
91,563.4649999999999,1.0029251743645258,0.0743235
92,635.148,1.0069715974410087,0.07457375
93,670.091,1.0109370920559622,0.074818995
94,689.408,1.0132030889787929,0.074959135
95,703.781,1.0149025866709156,0.07506424
96,719.825,1.016763941286098,0.075179355
97,742.9639999999999,1.0191917951319878,0.075329505
98,756.015,1.023238218208471,0.075579755
99,652.0,0.9624634997230032,0.07743925
100,667.0,0.9648176892902912,0.07738055
101,687.0,0.9683489736412232,0.0772925
102,764.298,1.024224517473964,0.07728575
103,747.437,1.021245322124504,0.0787465
104,744.13,1.0183257106820334,0.080178035
105,724.953,1.015227347518595,0.081697215
106,683.949,1.012307736076124,0.08312875
107,733.0,1.027047811337141,0.07637375
108,728.0,1.0268919098508578,0.0769225
109,723.0,1.0267360083645745,0.07747125
110,781.933,1.0172911065718162,0.0827745
111,762.84,1.0073785003202085,0.089724
112,670.972,0.9974658940686,0.0966735
113,734.907,1.0082751937021477,0.077868
114,629.206,0.9941734469567964,0.079390035
115,581.685,0.9894413171764772,0.079900785
116,743.0,0.9860053953958836,0.07685225
117,762.0,0.9857483114662918,0.077447444
118,784.0,0.9881377197782236,0.077221359
119,804.0,0.9917223596163868,0.0768822315
120,749.0,0.9830911360290228,0.07725425
121,759.0,0.9854114602507574,0.07703475
